time,fx,fy,fz
0.0,0.0,0.0,2.2073516466196354e-09
0.016,0.0,0.0,2.207517206369074e-09
0.032,0.0,0.0,2.2075117001276527e-09
0.048,0.0,0.0,2.2075072843741396e-09
0.064,0.0,0.0,2.2075037517842923e-09
0.08,0.0,0.0,2.2075009257234484e-09
0.096,0.0,0.0,2.207498664883608e-09
0.112,0.0,0.0,2.2074968562188058e-09
0.128,0.0,0.0,2.2074954092926035e-09
0.14400000000000002,0.0,0.0,2.207494251756171e-09
0.16000000000000003,0.0,0.0,2.2074933257306425e-09
0.17600000000000005,0.0,0.0,2.2074925849131254e-09
0.19200000000000006,0.0,0.0,2.207491992261417e-09
0.20800000000000007,0.0,0.0,2.2074915181418905e-09
0.2240000000000001,0.0,0.0,2.2074911388477675e-09
0.2400000000000001,0.0,0.0,2.20749083541366e-09
0.2560000000000001,0.0,0.0,2.2074905926672986e-09
0.27200000000000013,0.0,0.0,2.207490398470987e-09
0.28800000000000014,0.0,0.0,2.2074902431145456e-09
0.30400000000000016,0.0,0.0,2.2074901188298665e-09
0.3200000000000002,0.0,0.0,2.2074900194025124e-09
0.3360000000000002,0.0,0.0,2.207489939860941e-09
0.3520000000000002,0.0,0.0,2.2074898762279394e-09
0.3680000000000002,0.0,0.0,2.207489825321727e-09
0.38400000000000023,0.0,0.0,2.20748978459692e-09
0.40000000000000024,0.0,0.0,2.2074897520172124e-09
0.41600000000000026,0.0,0.0,2.2074897259535334e-09
0.4320000000000003,0.0,0.0,2.20748970510268e-09
0.4480000000000003,0.0,0.0,2.2074896884220552e-09
0.4640000000000003,0.0,0.0,2.2074896750776136e-09
0.4800000000000003,0.0,0.0,2.2074896644021125e-09
0.49600000000000033,0.0,0.0,2.2074896558617303e-09
0.5120000000000003,0.0,0.0,2.207489649029452e-09
0.5280000000000004,0.0,0.0,2.2074896435636527e-09
0.5440000000000004,0.0,0.0,2.2074896391910408e-09
0.5600000000000004,0.0,0.0,2.2074896356929548e-09
0.5760000000000004,0.0,0.0,2.207489632894493e-09
0.5920000000000004,0.0,0.0,2.2074896306557334e-09
0.6080000000000004,0.0,0.0,2.2074896288647356e-09
0.6240000000000004,0.0,0.0,2.2074896274319347e-09
0.6400000000000005,0.0,0.0,2.2074896262857175e-09
0.6560000000000005,0.0,0.0,2.2074896253687386e-09
0.6720000000000005,0.0,0.0,2.2074896246351526e-09
0.6880000000000005,0.0,0.0,2.207489624048283e-09
0.7040000000000005,0.0,0.0,2.207489623578796e-09
0.7200000000000005,0.0,0.0,2.20748962320321e-09
0.7360000000000005,0.0,0.0,2.2074896229027486e-09
0.7520000000000006,0.0,0.0,2.2074896226623645e-09
0.7680000000000006,0.0,0.0,2.207489622470072e-09
0.7840000000000006,0.0,0.0,2.2074896223162308e-09
0.8000000000000006,0.0,0.0,2.20748962219315e-09
0.8160000000000006,0.0,0.0,2.2074896220947006e-09
0.8320000000000006,0.0,0.0,2.207489622015945e-09
0.8480000000000006,0.0,0.0,2.2074896219529215e-09
0.8640000000000007,0.0,0.0,2.207489621902526e-09
0.8800000000000007,0.0,0.0,2.2074896218621827e-09
0.8960000000000007,0.0,0.0,2.207489621829938e-09
0.9120000000000007,0.0,0.0,2.2074896218041162e-09
0.9280000000000007,0.0,0.0,2.207489621783466e-09
0.9440000000000007,0.0,0.0,2.2074896217669535e-09
0.9600000000000007,0.0,0.0,2.20748962175374e-09
0.9760000000000008,0.0,0.0,2.207489621743161e-09
0.9920000000000008,0.0,0.0,2.207489621743161e-09
1.0080000000000007,0.0,0.0,2.207489621743161e-09
1.0240000000000007,0.0,0.0,2.207489621743161e-09
1.0400000000000007,0.0,0.0,2.207489621743161e-09
1.0560000000000007,0.0,0.0,2.207489621743161e-09
1.0720000000000007,0.0,0.0,2.207489621743161e-09
1.0880000000000007,0.0,0.0,2.207489621743161e-09
1.1040000000000008,0.0,0.0,2.207489621743161e-09
1.1200000000000008,0.0,0.0,2.207489621743161e-09
1.1360000000000008,0.0,0.0,2.207489621743161e-09
1.1520000000000008,0.0,0.0,2.207489621743161e-09
1.1680000000000008,0.0,0.0,2.207489621743161e-09
1.1840000000000008,0.0,0.0,2.207489621743161e-09
1.2000000000000008,0.0,0.0,2.207489621743161e-09
1.2160000000000009,0.0,0.0,2.207489621743161e-09
1.2320000000000009,0.0,0.0,2.207489621743161e-09
1.2480000000000009,0.0,0.0,2.207489621743161e-09
1.264000000000001,0.0,0.0,2.207489621743161e-09
1.280000000000001,0.0,0.0,2.207489621743161e-09
1.296000000000001,0.0,0.0,2.207489621743161e-09
1.312000000000001,0.0,0.0,2.207489621743161e-09
1.328000000000001,0.0,0.0,2.207489621743161e-09
1.344000000000001,0.0,0.0,2.207489621743161e-09
1.360000000000001,0.0,0.0,2.207489621743161e-09
1.376000000000001,0.0,0.0,2.207489621743161e-09
1.392000000000001,0.0,0.0,2.207489621743161e-09
1.408000000000001,0.0,0.0,2.207489621743161e-09
1.424000000000001,0.0,0.0,2.207489621743161e-09
1.440000000000001,0.0,0.0,2.207489621743161e-09
1.456000000000001,0.0,0.0,2.207489621743161e-09
1.472000000000001,0.0,0.0,2.207489621743161e-09
1.488000000000001,0.0,0.0,2.207489621743161e-09
1.5040000000000011,0.0,0.0,2.207489621743161e-09
1.5200000000000011,0.0,0.0,2.207489621743161e-09
1.5360000000000011,0.0,0.0,2.207489621743161e-09
1.5520000000000012,0.0,0.0,2.207489621743161e-09
1.5680000000000012,0.0,0.0,2.207489621743161e-09
1.5840000000000012,0.0,0.0,2.207489621743161e-09
1.6000000000000012,0.0,0.0,2.207489621743161e-09
1.6160000000000012,0.0,0.0,2.207489621743161e-09
1.6320000000000012,0.0,0.0,2.207489621743161e-09
1.6480000000000012,0.0,0.0,2.207489621743161e-09
1.6640000000000013,0.0,0.0,2.207489621743161e-09
1.6800000000000013,0.0,0.0,2.207489621743161e-09
1.6960000000000013,0.0,0.0,2.207489621743161e-09
1.7120000000000013,0.0,0.0,2.207489621743161e-09
1.7280000000000013,0.0,0.0,2.207489621743161e-09
1.7440000000000013,0.0,0.0,2.207489621743161e-09
1.7600000000000013,0.0,0.0,2.207489621743161e-09
1.7760000000000014,0.0,0.0,2.207489621743161e-09
1.7920000000000014,0.0,0.0,2.207489621743161e-09
1.8080000000000014,0.0,0.0,2.207489621743161e-09
1.8240000000000014,0.0,0.0,2.207489621743161e-09
1.8400000000000014,0.0,0.0,2.207489621743161e-09
1.8560000000000014,0.0,0.0,2.207489621743161e-09
1.8720000000000014,0.0,0.0,2.207489621743161e-09
1.8880000000000015,0.0,0.0,2.207489621743161e-09
1.9040000000000015,0.0,0.0,2.207489621743161e-09
1.9200000000000015,0.0,0.0,2.207489621743161e-09
1.9360000000000015,0.0,0.0,2.207489621743161e-09
1.9520000000000015,0.0,0.0,2.207489621743161e-09
1.9680000000000015,0.0,0.0,2.207489621743161e-09
1.9840000000000015,5.377059256336305,0.0,0.0
2.0000000000000013,5.0982231646353995,0.0,0.0
2.0160000000000013,4.989299962730049,0.0,0.0
2.0320000000000014,4.937980807981181,0.0,0.0
2.0480000000000014,4.923359598667429,0.0,0.0
2.0640000000000014,4.9322461298290685,0.0,0.0
2.0800000000000014,4.955577612986719,0.0,0.0
2.0960000000000014,3.678991763344952e-08,0.0,0.0
2.1120000000000014,0.0,0.0,1.2489805841462177e-08
2.1280000000000014,0.0,0.0,1.0433407404107464e-08
2.1440000000000015,0.0,0.0,8.788275249349075e-09
